"county","state","median_income","cum_county","cum_median_income"
"Clearwater","Idaho","57,961","65.38%","74.79%"
"Northumberland","Pennsylvania","57,948","65.41%","74.82%"
"Oxford","Maine","57,933","65.44%","74.85%"
"Dewey","South Dakota","57,928","65.47%","74.88%"
"Bates","Missouri","57,914","65.5%","74.9%"
"Ohio","West Virginia","57,867","65.53%","74.93%"
"Uvalde","Texas","57,849","65.56%","74.96%"
"Baker","Oregon","57,844","65.6%","74.99%"
"Iberia Parish","Louisiana","57,811","65.63%","75.01%"
"Mecosta","Michigan","57,774","65.66%","75.04%"
"Todd","Kentucky","57,759","65.69%","75.07%"
"Carroll","Kentucky","57,753","65.72%","75.1%"
"Page","Iowa","57,752","65.75%","75.12%"
"Schoolcraft","Michigan","57,708","65.78%","75.15%"
"Franklin","Nebraska","57,692","65.81%","75.18%"
"Avery","North Carolina","57,657","65.84%","75.21%"
"Richland","Ohio","57,649","65.87%","75.23%"
"Ashland","Wisconsin","57,645","65.9%","75.26%"
"St. Bernard Parish","Louisiana","57,638","65.94%","75.29%"
"Allen","Kansas","57,618","65.97%","75.32%"
"Caldwell","Kentucky","57,618","66%","75.34%"
"Craighead","Arkansas","57,615","66.03%","75.37%"
"Barber","Kansas","57,615","66.06%","75.4%"
"Kleberg","Texas","57,612","66.09%","75.43%"
"Hopkins","Kentucky","57,610","66.12%","75.45%"
"Prowers","Colorado","57,601","66.15%","75.48%"
"Cheyenne","Nebraska","57,594","66.18%","75.51%"
"Pike","Missouri","57,572","66.21%","75.54%"
"Custer","Oklahoma","57,562","66.24%","75.56%"
"Pawnee","Oklahoma","57,551","66.28%","75.59%"
"Vermilion Parish","Louisiana","57,537","66.31%","75.62%"
"Houston","Alabama","57,531","66.34%","75.65%"
"Jasper","Missouri","57,525","66.37%","75.67%"
"Silver Bow","Montana","57,504","66.4%","75.7%"
"Rock","Nebraska","57,500","66.43%","75.73%"
"Accomack","Virginia","57,500","66.46%","75.76%"
"Greene","Missouri","57,488","66.49%","75.78%"
"Montgomery","Kentucky","57,468","66.52%","75.81%"
"Iberville Parish","Louisiana","57,459","66.55%","75.84%"
"Gentry","Missouri","57,458","66.58%","75.87%"
"Lynn","Texas","57,411","66.62%","75.89%"
"Morgan","Tennessee","57,408","66.65%","75.92%"
"Allegany","Maryland","57,393","66.68%","75.95%"
"Simpson","Kentucky","57,392","66.71%","75.98%"
"Rolette","North Dakota","57,355","66.74%","76%"
"Golden Valley","Montana","57,353","66.77%","76.03%"
"Geary","Kansas","57,344","66.8%","76.06%"
"Cloud","Kansas","57,333","66.83%","76.08%"
"Marion","Ohio","57,306","66.86%","76.11%"
"Burt","Nebraska","57,303","66.89%","76.14%"
"Bollinger","Missouri","57,286","66.92%","76.17%"
"Mayes","Oklahoma","57,279","66.96%","76.19%"
"Clay","Illinois","57,266","66.99%","76.22%"
"Langlade","Wisconsin","57,258","67.02%","76.25%"
"Tangipahoa Parish","Louisiana","57,256","67.05%","76.28%"
"Hart","Georgia","57,241","67.08%","76.3%"
"Harrison","Mississippi","57,233","67.11%","76.33%"
"Hickman","Tennessee","57,223","67.14%","76.36%"
"Cimarron","Oklahoma","57,204","67.17%","76.39%"
"Worth","Georgia","57,201","67.2%","76.41%"
"Tallapoosa","Alabama","57,185","67.23%","76.44%"
"Hardin","Illinois","57,155","67.26%","76.47%"
"Decatur","Iowa","57,146","67.3%","76.49%"
"Garvin","Oklahoma","57,127","67.33%","76.52%"
"Fayette","Illinois","57,113","67.36%","76.55%"
"Wahkiakum","Washington","57,091","67.39%","76.58%"
"Coosa","Alabama","57,063","67.42%","76.6%"
"Cumberland","Virginia","57,057","67.45%","76.63%"
"Wilson","Kansas","57,056","67.48%","76.66%"
"Osceola","Michigan","57,050","67.51%","76.69%"
"Smith","Kansas","57,024","67.54%","76.71%"
"Laurel","Kentucky","56,999","67.57%","76.74%"
"Lamb","Texas","56,997","67.6%","76.77%"
"Ellis","Oklahoma","56,992","67.64%","76.79%"
"Arenac","Michigan","56,989","67.67%","76.82%"
"Jefferson","Florida","56,984","67.7%","76.85%"
"Jefferson","Ohio","56,983","67.73%","76.88%"
"Chowan","North Carolina","56,982","67.76%","76.9%"
"Huron","Michigan","56,963","67.79%","76.93%"
"Custer","Idaho","56,957","67.82%","76.96%"
"Delaware","Indiana","56,932","67.85%","76.98%"
"Chouteau","Montana","56,927","67.88%","77.01%"
"Edgar","Illinois","56,909","67.91%","77.04%"
"Sheridan","Nebraska","56,900","67.94%","77.07%"
"Jefferson","Pennsylvania","56,898","67.98%","77.09%"
"Wadena","Minnesota","56,882","68.01%","77.12%"
"Putnam","Missouri","56,875","68.04%","77.15%"
"Bulloch","Georgia","56,832","68.07%","77.17%"
"Jefferson","Iowa","56,824","68.1%","77.2%"
"Union","Iowa","56,813","68.13%","77.23%"
"Union","Mississippi","56,807","68.16%","77.26%"
"Taylor","West Virginia","56,807","68.19%","77.28%"
"Sullivan","Tennessee","56,802","68.22%","77.31%"
"Greene","Arkansas","56,793","68.25%","77.34%"
"Greensville","Virginia","56,759","68.28%","77.36%"
"Grant","North Dakota","56,750","68.32%","77.39%"
"Colbert","Alabama","56,736","68.35%","77.42%"
"Barton","Kansas","56,733","68.38%","77.45%"
"Morris","Kansas","56,716","68.41%","77.47%"
"Presque Isle","Michigan","56,713","68.44%","77.5%"
"Pierce","Georgia","56,691","68.47%","77.53%"
"Calhoun","South Carolina","56,690","68.5%","77.55%"
"Polk","Missouri","56,686","68.53%","77.58%"
"Big Horn","Montana","56,680","68.56%","77.61%"
"Kay","Oklahoma","56,673","68.59%","77.64%"
"Fayette","Indiana","56,659","68.62%","77.66%"
"Wayne","Indiana","56,652","68.66%","77.69%"
"Florence","South Carolina","56,650","68.69%","77.72%"
"Modoc","California","56,648","68.72%","77.74%"
"Warren","Mississippi","56,648","68.75%","77.77%"
"Monroe","Tennessee","56,648","68.78%","77.8%"
"Donley","Texas","56,648","68.81%","77.82%"
"Muscogee","Georgia","56,622","68.84%","77.85%"
"Henry","Missouri","56,621","68.87%","77.88%"
"Barry","Missouri","56,611","68.9%","77.91%"
"Adair","Missouri","56,583","68.93%","77.93%"
"Houghton","Michigan","56,573","68.96%","77.96%"
"Saline","Missouri","56,566","69%","77.99%"
"Dundy","Nebraska","56,563","69.03%","78.01%"
"Benewah","Idaho","56,553","69.06%","78.04%"
"Dooly","Georgia","56,545","69.09%","78.07%"
"Putnam","Tennessee","56,537","69.12%","78.09%"
"Pearl River","Mississippi","56,535","69.15%","78.12%"
"Cass","Indiana","56,525","69.18%","78.15%"
"Chautauqua","New York","56,507","69.21%","78.18%"
"Jefferson Davis Parish","Louisiana","56,500","69.24%","78.2%"
"Marshall","Oklahoma","56,495","69.27%","78.23%"
"Essex","Virginia","56,481","69.3%","78.26%"
"Meriwether","Georgia","56,458","69.34%","78.28%"
"Gallia","Ohio","56,455","69.37%","78.31%"
"Sebastian","Arkansas","56,450","69.4%","78.34%"
"Rosebud","Montana","56,430","69.43%","78.36%"
"Union","Illinois","56,420","69.46%","78.39%"
"Imperial","California","56,393","69.49%","78.42%"
"Kiowa","Colorado","56,389","69.52%","78.45%"
"Waynesboro city","Virginia","56,364","69.55%","78.47%"
"Crawford","Missouri","56,345","69.58%","78.5%"
"Bourbon","Kentucky","56,322","69.61%","78.53%"
"Knox","Texas","56,304","69.64%","78.55%"
"Cambria","Pennsylvania","56,292","69.68%","78.58%"
"Macon","Tennessee","56,269","69.71%","78.61%"
"Curry","New Mexico","56,259","69.74%","78.63%"
"Talladega","Alabama","56,249","69.77%","78.66%"
"Audrain","Missouri","56,232","69.8%","78.69%"
"Meagher","Montana","56,215","69.83%","78.71%"
"Somerset","Maine","56,199","69.86%","78.74%"
"Wood","West Virginia","56,193","69.89%","78.77%"
"Boone","West Virginia","56,152","69.92%","78.79%"
"Surry","North Carolina","56,095","69.95%","78.82%"
"Fayette","Pennsylvania","56,093","69.98%","78.85%"
"Elk","Kansas","56,087","70.02%","78.87%"
"Gray","Texas","56,082","70.05%","78.9%"
"Bee","Texas","56,075","70.08%","78.93%"
"Reeves","Texas","56,056","70.11%","78.96%"
"Coles","Illinois","56,040","70.14%","78.98%"
"Mitchell","Texas","56,033","70.17%","79.01%"
"Schuyler","Missouri","56,023","70.2%","79.04%"
"Independence","Arkansas","56,009","70.23%","79.06%"
"Sumter","South Carolina","55,990","70.26%","79.09%"
"Cleburne","Arkansas","55,979","70.29%","79.12%"
"Nye","Nevada","55,975","70.32%","79.14%"
"Morgan","Ohio","55,971","70.36%","79.17%"
"Nodaway","Missouri","55,970","70.39%","79.2%"
"Rapides Parish","Louisiana","55,946","70.42%","79.22%"
"Northampton","Virginia","55,933","70.45%","79.25%"
"Wheeler","Nebraska","55,893","70.48%","79.28%"
"Lowndes","Georgia","55,887","70.51%","79.3%"
"Walker","Georgia","55,887","70.54%","79.33%"
"Lawrence","Missouri","55,849","70.57%","79.36%"
"Montgomery","North Carolina","55,849","70.6%","79.38%"
"Greene","Mississippi","55,838","70.63%","79.41%"
"Calhoun","Alabama","55,826","70.66%","79.44%"
"Mohave","Arizona","55,799","70.7%","79.46%"
"Rockingham","North Carolina","55,796","70.73%","79.49%"
"Dawson","Texas","55,789","70.76%","79.52%"
"Cleveland","North Carolina","55,769","70.79%","79.54%"
"Cheyenne","Kansas","55,765","70.82%","79.57%"
"Guernsey","Ohio","55,756","70.85%","79.6%"
"Calhoun","Georgia","55,714","70.88%","79.62%"
"Neosho","Kansas","55,704","70.91%","79.65%"
"Menominee","Michigan","55,688","70.94%","79.68%"
"Burke","North Carolina","55,684","70.97%","79.7%"
"Jackson","West Virginia","55,671","71%","79.73%"
"Doña Ana","New Mexico","55,663","71.04%","79.76%"
"Jones","North Carolina","55,659","71.07%","79.78%"
"Highlands","Florida","55,581","71.1%","79.81%"
"Richardson","Nebraska","55,578","71.13%","79.83%"
"Gladwin","Michigan","55,576","71.16%","79.86%"
"Mahoning","Ohio","55,576","71.19%","79.89%"
"Clinch","Georgia","55,549","71.22%","79.91%"
"Wayne","West Virginia","55,539","71.25%","79.94%"
"Camas","Idaho","55,536","71.28%","79.97%"
"McDowell","North Carolina","55,527","71.31%","79.99%"
"Laurens","South Carolina","55,517","71.34%","80.02%"
"Ashtabula","Ohio","55,507","71.38%","80.05%"
"Sullivan","Missouri","55,500","71.41%","80.07%"
"Siskiyou","California","55,499","71.44%","80.1%"
"Suwannee","Florida","55,479","71.47%","80.13%"
"Crawford","Ohio","55,477","71.5%","80.15%"
"La Salle","Texas","55,469","71.53%","80.18%"
"Floyd","Texas","55,461","71.56%","80.21%"
"Twiggs","Georgia","55,439","71.59%","80.23%"
"Labette","Kansas","55,439","71.62%","80.26%"
"Swain","North Carolina","55,429","71.65%","80.29%"
"Phelps","Missouri","55,427","71.68%","80.31%"
"Harper","Kansas","55,417","71.72%","80.34%"
"Judith Basin","Montana","55,417","71.75%","80.36%"
"Adams","North Dakota","55,417","71.78%","80.39%"
"Baldwin","Georgia","55,413","71.81%","80.42%"
"Garland","Arkansas","55,409","71.84%","80.44%"
"Marion","Kentucky","55,404","71.87%","80.47%"
"Caldwell","North Carolina","55,401","71.9%","80.5%"
"Eddy","North Dakota","55,389","71.93%","80.52%"
"Falls","Texas","55,372","71.96%","80.55%"
"Noble","Ohio","55,360","71.99%","80.58%"
"Wythe","Virginia","55,359","72.02%","80.6%"
"Citrus","Florida","55,355","72.06%","80.63%"
"McCormick","South Carolina","55,344","72.09%","80.66%"
"Orleans Parish","Louisiana","55,339","72.12%","80.68%"
"Hamilton","Texas","55,339","72.15%","80.71%"
"Hill","Montana","55,313","72.18%","80.73%"
"Randolph","Missouri","55,310","72.21%","80.76%"
"Polk","Georgia","55,308","72.24%","80.79%"
"Brown","Texas","55,305","72.27%","80.81%"
"St. Louis city","Missouri","55,279","72.3%","80.84%"
"Hawkins","Tennessee","55,278","72.33%","80.87%"
"Carroll","Mississippi","55,275","72.36%","80.89%"
"Glascock","Georgia","55,250","72.4%","80.92%"
"Piscataquis","Maine","55,234","72.43%","80.95%"
"Carroll","Arkansas","55,187","72.46%","80.97%"
"Matagorda","Texas","55,174","72.49%","81%"
"Miller","Missouri","55,172","72.52%","81.03%"
"Alleghany","Virginia","55,160","72.55%","81.05%"
"Baraga","Michigan","55,117","72.58%","81.08%"
"Delaware","Oklahoma","55,114","72.61%","81.1%"
"Trumbull","Ohio","55,088","72.64%","81.13%"
"Morris","Texas","55,082","72.67%","81.16%"
"Prince Edward","Virginia","55,082","72.7%","81.18%"
"Logan","Colorado","55,074","72.74%","81.21%"
"Columbia","Florida","55,070","72.77%","81.24%"
"Camp","Texas","55,061","72.8%","81.26%"
"Randolph","West Virginia","55,057","72.83%","81.29%"
"Sullivan","Indiana","54,985","72.86%","81.31%"
"Dyer","Tennessee","54,973","72.89%","81.34%"
"Yancey","North Carolina","54,961","72.92%","81.37%"
"Saline","Illinois","54,945","72.95%","81.39%"
"Pawnee","Nebraska","54,926","72.98%","81.42%"
"Troup","Georgia","54,905","73.01%","81.45%"
"Otero","Colorado","54,897","73.04%","81.47%"
"San Juan","Utah","54,890","73.08%","81.5%"
"San Saba","Texas","54,855","73.11%","81.52%"
"Lawrence","Ohio","54,842","73.14%","81.55%"
"Delta","Michigan","54,829","73.17%","81.58%"
"George","Mississippi","54,822","73.2%","81.6%"
"St. Francois","Missouri","54,813","73.23%","81.63%"
"Hockley","Texas","54,810","73.26%","81.65%"
"Pittsburg","Oklahoma","54,787","73.29%","81.68%"
"Stephens","Texas","54,695","73.32%","81.71%"
"Wirt","West Virginia","54,688","73.35%","81.73%"
"Coshocton","Ohio","54,687","73.38%","81.76%"
"Ferry","Washington","54,650","73.42%","81.79%"
"Granite","Montana","54,646","73.45%","81.81%"
"Trigg","Kentucky","54,630","73.48%","81.84%"
"Gallatin","Illinois","54,626","73.51%","81.86%"
"Pope","Arkansas","54,606","73.54%","81.89%"
"Chautauqua","Kansas","54,592","73.57%","81.92%"
"Scott","Indiana","54,583","73.6%","81.94%"
"Houston","Texas","54,563","73.63%","81.97%"
"Vermilion","Illinois","54,537","73.66%","81.99%"
"Vernon","Missouri","54,519","73.69%","82.02%"
"Chase","Kansas","54,518","73.72%","82.05%"
"Edmonson","Kentucky","54,512","73.76%","82.07%"
"Walker","Alabama","54,509","73.79%","82.1%"
"Monroe","West Virginia","54,508","73.82%","82.12%"
"Houston","Tennessee","54,475","73.85%","82.15%"
"Lowndes","Mississippi","54,460","73.88%","82.18%"
"Lunenburg","Virginia","54,460","73.91%","82.2%"
"Buena Vista city","Virginia","54,458","73.94%","82.23%"
"Dawes","Nebraska","54,381","73.97%","82.25%"
"Ohio","Kentucky","54,369","74%","82.28%"
"Luce","Michigan","54,338","74.03%","82.31%"
"Cass","Texas","54,328","74.06%","82.33%"
"Grady","Georgia","54,312","74.1%","82.36%"
"Dent","Missouri","54,306","74.13%","82.38%"
"Harmon","Oklahoma","54,286","74.16%","82.41%"
"Saguache","Colorado","54,283","74.19%","82.44%"
"Bryan","Oklahoma","54,280","74.22%","82.46%"
"Crittenden","Arkansas","54,271","74.25%","82.49%"
"Lincoln","Colorado","54,257","74.28%","82.51%"
"Aroostook","Maine","54,254","74.31%","82.54%"
"Logan","Arkansas","54,237","74.34%","82.57%"
"Hardee","Florida","54,231","74.37%","82.59%"
"Boone","Arkansas","54,195","74.4%","82.62%"
"Christian","Kentucky","54,190","74.44%","82.64%"
"Johnson","Georgia","54,183","74.47%","82.67%"
"Audubon","Iowa","54,152","74.5%","82.69%"
"Toombs","Georgia","54,130","74.53%","82.72%"
"Bath","Kentucky","54,128","74.56%","82.75%"
"Pittsylvania","Virginia","54,115","74.59%","82.77%"
"Jay","Indiana","54,114","74.62%","82.8%"
"Deaf Smith","Texas","54,114","74.65%","82.82%"
"Simpson","Mississippi","54,111","74.68%","82.85%"
"Roscommon","Michigan","54,106","74.71%","82.88%"
"Warren","Tennessee","54,088","74.74%","82.9%"
"Sioux","Nebraska","54,076","74.78%","82.93%"
"Greene","Tennessee","54,071","74.81%","82.95%"
"Stoddard","Missouri","54,067","74.84%","82.98%"
"McDuffie","Georgia","54,058","74.87%","83%"
"Haskell","Texas","54,044","74.9%","83.03%"
"Sanders","Montana","54,035","74.93%","83.06%"
"Grant","Indiana","54,007","74.96%","83.08%"
"Dale","Alabama","53,955","74.99%","83.11%"
"Mahnomen","Minnesota","53,925","75.02%","83.13%"
"Irwin","Georgia","53,915","75.05%","83.16%"
"Evans","Georgia","53,908","75.09%","83.18%"
"Russell","Kansas","53,902","75.12%","83.21%"
"Rio Arriba","New Mexico","53,901","75.15%","83.24%"
"Keweenaw","Michigan","53,893","75.18%","83.26%"
"Madison","Arkansas","53,888","75.21%","83.29%"
"Live Oak","Texas","53,869","75.24%","83.31%"
"Harrison","Ohio","53,851","75.27%","83.34%"
"Grundy","Missouri","53,839","75.3%","83.36%"
"Athens","Ohio","53,837","75.33%","83.39%"
"Liberty","Florida","53,824","75.36%","83.42%"
"Vinton","Ohio","53,813","75.39%","83.44%"
"Levy","Florida","53,805","75.43%","83.47%"
"Edwards","Kansas","53,792","75.46%","83.49%"
"Isabella","Michigan","53,759","75.49%","83.52%"
"Early","Georgia","53,750","75.52%","83.54%"
"Toole","Montana","53,693","75.55%","83.57%"
"Breckinridge","Kentucky","53,673","75.58%","83.6%"
"Carbon","Utah","53,673","75.61%","83.62%"
"Cherokee","Oklahoma","53,668","75.64%","83.65%"
"Rowan","Kentucky","53,657","75.67%","83.67%"
"Wabash","Illinois","53,650","75.7%","83.7%"
"Clay","North Carolina","53,645","75.73%","83.72%"
"Nicholas","Kentucky","53,616","75.77%","83.75%"
"Santa Cruz","Arizona","53,614","75.8%","83.78%"
"Iron","Michigan","53,614","75.83%","83.8%"
"Republic","Kansas","53,611","75.86%","83.83%"
"Washington","Idaho","53,608","75.89%","83.85%"
"Alcona","Michigan","53,568","75.92%","83.88%"
"Lincoln","Kansas","53,546","75.95%","83.9%"
"Pondera","Montana","53,500","75.98%","83.93%"
"Trinity","California","53,498","76.01%","83.95%"
"Jackson","North Carolina","53,479","76.04%","83.98%"
"Tucker","West Virginia","53,475","76.07%","84.01%"
"Franklin","Illinois","53,471","76.11%","84.03%"
"Henderson","Tennessee","53,471","76.14%","84.06%"
"Mason","West Virginia","53,454","76.17%","84.08%"
"Lawrence","Illinois","53,438","76.2%","84.11%"
"White","Arkansas","53,435","76.23%","84.13%"
"Mississippi","Arkansas","53,428","76.26%","84.16%"
"St. Martin Parish","Louisiana","53,394","76.29%","84.18%"
"Harrison","Missouri","53,364","76.32%","84.21%"
"Wetzel","West Virginia","53,341","76.35%","84.23%"
"Knox","Missouri","53,333","76.38%","84.26%"
"Cleburne","Alabama","53,319","76.41%","84.29%"
"Macon","North Carolina","53,298","76.45%","84.31%"
"Knox","Illinois","53,291","76.48%","84.34%"
"Liberty","Montana","53,264","76.51%","84.36%"
"Montgomery","Kansas","53,242","76.54%","84.39%"
"Lawrence","Tennessee","53,233","76.57%","84.41%"
"Richmond","Georgia","53,197","76.6%","84.44%"
"Dallas","Missouri","53,177","76.63%","84.46%"
"Tift","Georgia","53,165","76.66%","84.49%"
"Sampson","North Carolina","53,159","76.69%","84.51%"
"Roosevelt","Montana","53,125","76.72%","84.54%"
"Okmulgee","Oklahoma","53,123","76.75%","84.57%"
"Wayne","Illinois","53,107","76.79%","84.59%"
"Obion","Tennessee","53,102","76.82%","84.62%"
"White","Illinois","53,097","76.85%","84.64%"
"Neshoba","Mississippi","53,087","76.88%","84.67%"
"Etowah","Alabama","53,070","76.91%","84.69%"
"Hendry","Florida","53,044","76.94%","84.72%"
"Lane","Kansas","53,042","76.97%","84.74%"
"San Juan","New Mexico","53,020","77%","84.77%"
"Screven","Georgia","53,017","77.03%","84.79%"
"Bleckley","Georgia","53,005","77.06%","84.82%"
"Brunswick","Virginia","52,978","77.09%","84.84%"
"Richland Parish","Louisiana","52,960","77.13%","84.87%"
"Saluda","South Carolina","52,957","77.16%","84.89%"
"Graham","Kansas","52,909","77.19%","84.92%"
"Whitman","Washington","52,893","77.22%","84.94%"
"Randolph","Arkansas","52,838","77.25%","84.97%"
"Sedgwick","Colorado","52,833","77.28%","85%"
"Cabell","West Virginia","52,828","77.31%","85.02%"
"Wayne","Tennessee","52,824","77.34%","85.05%"
"Forrest","Mississippi","52,821","77.37%","85.07%"
"Caddo","Oklahoma","52,817","77.4%","85.1%"
"Hamblen","Tennessee","52,794","77.43%","85.12%"
"Radford city","Virginia","52,791","77.47%","85.15%"
"Hale","Texas","52,788","77.5%","85.17%"
"Navajo","Arizona","52,752","77.53%","85.2%"
"Pontotoc","Mississippi","52,741","77.56%","85.22%"
"Washington","Florida","52,723","77.59%","85.25%"
"Otero","New Mexico","52,717","77.62%","85.27%"
"Colfax","New Mexico","52,690","77.65%","85.3%"
"Nowata","Oklahoma","52,679","77.68%","85.32%"
"Muhlenberg","Kentucky","52,672","77.71%","85.35%"
"Fayette","West Virginia","52,672","77.74%","85.37%"
"Roanoke city","Virginia","52,671","77.77%","85.4%"
"Hot Spring","Arkansas","52,644","77.81%","85.42%"
"Yukon-Koyukuk Census Area","Alaska","52,642","77.84%","85.45%"
"Brewster","Texas","52,612","77.87%","85.47%"
"Carroll","Virginia","52,575","77.9%","85.5%"
"Assumption Parish","Louisiana","52,546","77.93%","85.52%"
"Wilkes","Georgia","52,542","77.96%","85.55%"
"Vigo","Indiana","52,525","77.99%","85.57%"
"Somerset","Maryland","52,462","78.02%","85.6%"
"Mineral","Colorado","52,455","78.05%","85.62%"
"Roosevelt","New Mexico","52,445","78.08%","85.65%"
"Gregory","South Dakota","52,432","78.11%","85.67%"
"Coleman","Texas","52,364","78.15%","85.7%"
"Tattnall","Georgia","52,351","78.18%","85.72%"
"Jewell","Kansas","52,344","78.21%","85.75%"
"Lewis","Missouri","52,340","78.24%","85.77%"
"Robertson","Kentucky","52,337","78.27%","85.8%"
"Beckham","Oklahoma","52,323","78.3%","85.82%"
"Upton","Texas","52,321","78.33%","85.85%"
"Okeechobee","Florida","52,288","78.36%","85.87%"
"Hidalgo","Texas","52,281","78.39%","85.9%"
"Lewis","West Virginia","52,279","78.42%","85.92%"
"Clarke","Georgia","52,267","78.45%","85.95%"
"Franklin","Georgia","52,264","78.49%","85.97%"
"Stephens","Georgia","52,264","78.52%","86%"
"Sequatchie","Tennessee","52,260","78.55%","86.02%"
"Little River","Arkansas","52,241","78.58%","86.05%"
"Washington","Maine","52,237","78.61%","86.07%"
"White","Tennessee","52,206","78.64%","86.1%"
"Benton","Missouri","52,200","78.67%","86.12%"
"Crosby","Texas","52,197","78.7%","86.15%"
"Carter","Montana","52,171","78.73%","86.17%"
"Johnson","Tennessee","52,152","78.76%","86.2%"
"Huerfano","Colorado","52,139","78.79%","86.22%"
"Shelby","Missouri","52,127","78.83%","86.25%"
"Brooke","West Virginia","52,116","78.86%","86.27%"
"Abbeville","South Carolina","52,112","78.89%","86.3%"
"Clark","Idaho","52,083","78.92%","86.32%"
"Lemhi","Idaho","52,057","78.95%","86.35%"
"Raleigh","West Virginia","52,055","78.98%","86.37%"
"Sabine Parish","Louisiana","52,047","79.01%","86.4%"
"Atoka","Oklahoma","52,034","79.04%","86.42%"
"Decatur","Kansas","52,030","79.07%","86.45%"
"Chaves","New Mexico","52,029","79.1%","86.47%"
"Hitchcock","Nebraska","52,016","79.13%","86.5%"
"Butler","Kentucky","52,003","79.17%","86.52%"
"Muskogee","Oklahoma","51,999","79.2%","86.55%"
"Ogemaw","Michigan","51,983","79.23%","86.57%"
"Franklin","Arkansas","51,919","79.26%","86.6%"
"McCulloch","Texas","51,919","79.29%","86.62%"
"Alpena","Michigan","51,909","79.32%","86.65%"
"Mitchell","Georgia","51,908","79.35%","86.67%"
"Washington","Missouri","51,886","79.38%","86.7%"
"Duplin","North Carolina","51,880","79.41%","86.72%"
"Marshall","Mississippi","51,875","79.44%","86.74%"
"Upshur","West Virginia","51,859","79.47%","86.77%"
"Calloway","Kentucky","51,854","79.51%","86.79%"
"Clay","Alabama","51,852","79.54%","86.82%"
"Ontonagon","Michigan","51,844","79.57%","86.84%"
"St. Mary Parish","Louisiana","51,768","79.6%","86.87%"
"Cibola","New Mexico","51,765","79.63%","86.89%"
"Eastland","Texas","51,741","79.66%","86.92%"
"Mecklenburg","Virginia","51,691","79.69%","86.94%"
"Lincoln","Arkansas","51,667","79.72%","86.97%"
"Trinity","Texas","51,663","79.75%","86.99%"
"Lincoln","New Mexico","51,643","79.78%","87.02%"
"Sevier","Arkansas","51,641","79.81%","87.04%"
"Wilbarger","Texas","51,626","79.85%","87.07%"
"Randolph","Alabama","51,551","79.88%","87.09%"
"Brown","Nebraska","51,538","79.91%","87.11%"
"Nacogdoches","Texas","51,528","79.94%","87.14%"
"Cherokee","North Carolina","51,496","79.97%","87.16%"
"Franklin","Alabama","51,493","80%","87.19%"
"Mason","Kentucky","51,473","80.03%","87.21%"
"Prentiss","Mississippi","51,466","80.06%","87.24%"
"Clark","Missouri","51,458","80.09%","87.26%"
"Alamosa","Colorado","51,445","80.12%","87.29%"
"Smith","Mississippi","51,396","80.15%","87.31%"
"Wilson","North Carolina","51,381","80.19%","87.34%"
"Watauga","North Carolina","51,367","80.22%","87.36%"
"Mellette","South Dakota","51,364","80.25%","87.39%"
"Grainger","Tennessee","51,351","80.28%","87.41%"
"Cameron","Texas","51,334","80.31%","87.43%"
"Maverick","Texas","51,270","80.34%","87.46%"
"Wheeler","Oregon","51,250","80.37%","87.48%"
"Ouachita Parish","Louisiana","51,241","80.4%","87.51%"
"Monroe","Mississippi","51,231","80.43%","87.53%"
"Chester","South Carolina","51,216","80.46%","87.56%"
"Bibb","Alabama","51,215","80.49%","87.58%"
"Conway","Arkansas","51,212","80.53%","87.61%"
"Montgomery","Georgia","51,188","80.56%","87.63%"
"Iron","Missouri","51,161","80.59%","87.65%"
"DeKalb","Alabama","51,149","80.62%","87.68%"
"Appanoose","Iowa","51,146","80.65%","87.7%"
"Jones","Mississippi","51,143","80.68%","87.73%"
"Tippah","Mississippi","51,141","80.71%","87.75%"
"Allen Parish","Louisiana","51,138","80.74%","87.78%"
"Prairie","Arkansas","51,094","80.77%","87.8%"
"Loving","Texas","51,087","80.8%","87.83%"
"Pike","Arkansas","51,000","80.83%","87.85%"
"Gilmer","West Virginia","50,991","80.87%","87.87%"
"Clark","Arkansas","50,985","80.9%","87.9%"
"Geneva","Alabama","50,951","80.93%","87.92%"
"Pulaski","Kentucky","50,943","80.96%","87.95%"
"Patrick","Virginia","50,938","80.99%","87.97%"
"Johnston","Oklahoma","50,911","81.02%","88%"
"Upson","Georgia","50,904","81.05%","88.02%"
"Greene","North Carolina","50,904","81.08%","88.04%"
"Covington","Alabama","50,886","81.11%","88.07%"
"DeSoto","Florida","50,868","81.14%","88.09%"
"Fentress","Tennessee","50,865","81.17%","88.12%"
"Lincoln","Kentucky","50,862","81.21%","88.14%"
"Ashe","North Carolina","50,827","81.24%","88.17%"
"Laclede","Missouri","50,825","81.27%","88.19%"
"Cherokee","Alabama","50,769","81.3%","88.21%"
"Bibb","Georgia","50,747","81.33%","88.24%"
"Petersburg city","Virginia","50,741","81.36%","88.26%"
"Wise","Virginia","50,740","81.39%","88.29%"
"Burke","Georgia","50,739","81.42%","88.31%"
"Fayette","Alabama","50,733","81.45%","88.34%"
"Marion","Alabama","50,714","81.48%","88.36%"
"McNairy","Tennessee","50,714","81.51%","88.38%"
"Lincoln","Georgia","50,688","81.55%","88.41%"
"Tyler","Texas","50,647","81.58%","88.43%"
"Greenwood","South Carolina","50,635","81.61%","88.46%"
"Mineral","Nevada","50,584","81.64%","88.48%"
"Oscoda","Michigan","50,581","81.67%","88.5%"
