"county","state","household_count","cum_county","cum_population"
"Presque Isle","Michigan","6,316","64.7%","97.25%"
"Adams","Washington","6,301","64.73%","97.26%"
"Lee","South Carolina","6,294","64.76%","97.26%"
"Alleghany","Virginia","6,292","64.79%","97.27%"
"Tipton","Indiana","6,265","64.82%","97.27%"
"Rusk","Wisconsin","6,259","64.85%","97.28%"
"Bond","Illinois","6,256","64.88%","97.28%"
"Clarke","Mississippi","6,246","64.91%","97.29%"
"Pemiscot","Missouri","6,231","64.95%","97.29%"
"Crawford","Iowa","6,229","64.98%","97.3%"
"Hill","Montana","6,226","65.01%","97.3%"
"Casey","Kentucky","6,217","65.04%","97.31%"
"Grayson","Virginia","6,202","65.07%","97.31%"
"Phillips","Arkansas","6,179","65.1%","97.32%"
"Dade","Georgia","6,178","65.13%","97.32%"
"Faribault","Minnesota","6,170","65.16%","97.33%"
"Pennington","Minnesota","6,170","65.19%","97.33%"
"Cooper","Missouri","6,169","65.22%","97.34%"
"Page","Iowa","6,161","65.26%","97.34%"
"Redwood","Minnesota","6,156","65.29%","97.35%"
"Fulton","Pennsylvania","6,156","65.32%","97.35%"
"Lawrence","Kentucky","6,150","65.35%","97.36%"
"Henry","Kentucky","6,147","65.38%","97.36%"
"Dixie","Florida","6,130","65.41%","97.37%"
"Calhoun","South Carolina","6,124","65.44%","97.37%"
"Sequatchie","Tennessee","6,121","65.47%","97.38%"
"Clay","Arkansas","6,116","65.5%","97.38%"
"Jackson","Arkansas","6,094","65.53%","97.38%"
"Buckingham","Virginia","6,062","65.56%","97.39%"
"Roseau","Minnesota","6,058","65.6%","97.39%"
"Falls Church city","Virginia","6,053","65.63%","97.4%"
"Fayette","Alabama","6,051","65.66%","97.4%"
"Hormigueros Municipio","Puerto Rico","6,044","65.69%","97.41%"
"Gasconade","Missouri","6,037","65.72%","97.41%"
"Trinity","Texas","6,033","65.75%","97.42%"
"Jones","Texas","6,028","65.78%","97.42%"
"Allamakee","Iowa","6,024","65.81%","97.43%"
"Trigg","Kentucky","6,012","65.84%","97.43%"
"Patillas Municipio","Puerto Rico","6,012","65.87%","97.44%"
"Crawford","Michigan","6,009","65.9%","97.44%"
"Falls","Texas","6,009","65.94%","97.45%"
"Harrison","Iowa","6,004","65.97%","97.45%"
"Holmes","Mississippi","6,003","66%","97.45%"
"Pawnee","Oklahoma","6,002","66.03%","97.46%"
"Brooks","Georgia","5,994","66.06%","97.46%"
"Chowan","North Carolina","5,989","66.09%","97.47%"
"Parke","Indiana","5,985","66.12%","97.47%"
"Bates","Missouri","5,975","66.15%","97.48%"
"Deaf Smith","Texas","5,973","66.18%","97.48%"
"Larue","Kentucky","5,966","66.21%","97.49%"
"Renville","Minnesota","5,965","66.24%","97.49%"
"Macon","Missouri","5,947","66.28%","97.5%"
"Scurry","Texas","5,931","66.31%","97.5%"
"Wetzel","West Virginia","5,925","66.34%","97.51%"
"Harrison","Ohio","5,921","66.37%","97.51%"
"Adjuntas Municipio","Puerto Rico","5,912","66.4%","97.52%"
"McKenzie","North Dakota","5,910","66.43%","97.52%"
"Hardy","West Virginia","5,909","66.46%","97.52%"
"Archuleta","Colorado","5,904","66.49%","97.53%"
"Estill","Kentucky","5,900","66.52%","97.53%"
"Wadena","Minnesota","5,889","66.55%","97.54%"
"Butler","Iowa","5,887","66.58%","97.54%"
"Carbon","Wyoming","5,885","66.62%","97.55%"
"Sibley","Minnesota","5,884","66.65%","97.55%"
"Atchison","Kansas","5,876","66.68%","97.56%"
"Barbour","West Virginia","5,871","66.71%","97.56%"
"Amite","Mississippi","5,862","66.74%","97.57%"
"Choctaw","Oklahoma","5,858","66.77%","97.57%"
"Cleburne","Alabama","5,849","66.8%","97.57%"
"Jefferson","Georgia","5,838","66.83%","97.58%"
"Swain","North Carolina","5,837","66.86%","97.58%"
"Long","Georgia","5,836","66.89%","97.59%"
"Nolan","Texas","5,834","66.92%","97.59%"
"Pend Oreille","Washington","5,829","66.96%","97.6%"
"Moultrie","Illinois","5,822","66.99%","97.6%"
"Towns","Georgia","5,819","67.02%","97.61%"
"Pike","Illinois","5,815","67.05%","97.61%"
"Jasper","Georgia","5,812","67.08%","97.62%"
"Gulf","Florida","5,800","67.11%","97.62%"
"O'Brien","Iowa","5,791","67.14%","97.62%"
"Cass","Iowa","5,789","67.17%","97.63%"
"Fleming","Kentucky","5,779","67.2%","97.63%"
"Moniteau","Missouri","5,774","67.23%","97.64%"
"Torrance","New Mexico","5,774","67.26%","97.64%"
"Bourbon","Kansas","5,770","67.3%","97.65%"
"Clay","Alabama","5,765","67.33%","97.65%"
"Missaukee","Michigan","5,750","67.36%","97.66%"
"Marshall","Oklahoma","5,747","67.39%","97.66%"
"Wayne","Tennessee","5,734","67.42%","97.66%"
"Ford","Illinois","5,728","67.45%","97.67%"
"Washington","Illinois","5,722","67.48%","97.67%"
"Dickenson","Virginia","5,717","67.51%","97.68%"
"Mason","Illinois","5,714","67.54%","97.68%"
"Koochiching","Minnesota","5,710","67.57%","97.69%"
"Converse","Wyoming","5,707","67.6%","97.69%"
"Sevier","Arkansas","5,697","67.64%","97.7%"
"Calhoun","Mississippi","5,696","67.67%","97.7%"
"Buffalo","Wisconsin","5,692","67.7%","97.7%"
"Cannon","Tennessee","5,686","67.73%","97.71%"
"Shoshone","Idaho","5,679","67.76%","97.71%"
"Washington","Alabama","5,678","67.79%","97.72%"
"Jefferson","Florida","5,675","67.82%","97.72%"
"Dent","Missouri","5,675","67.85%","97.73%"
"Willacy","Texas","5,671","67.88%","97.73%"
"White","Illinois","5,669","67.91%","97.74%"
"Clarke","Virginia","5,651","67.94%","97.74%"
"Kingfisher","Oklahoma","5,639","67.98%","97.74%"
"Cedar","Missouri","5,636","68.01%","97.75%"
"Morgan","Ohio","5,633","68.04%","97.75%"
"Ciales Municipio","Puerto Rico","5,631","68.07%","97.76%"
"Ketchikan Gateway Borough","Alaska","5,621","68.1%","97.76%"
"Martinsville city","Virginia","5,619","68.13%","97.77%"
"Comerío Municipio","Puerto Rico","5,612","68.16%","97.77%"
"Jackson Parish","Louisiana","5,602","68.19%","97.77%"
"McCreary","Kentucky","5,595","68.22%","97.78%"
"Newton","Indiana","5,591","68.25%","97.78%"
"York","Nebraska","5,589","68.28%","97.79%"
"Rincón Municipio","Puerto Rico","5,585","68.32%","97.79%"
"Guánica Municipio","Puerto Rico","5,583","68.35%","97.8%"
"Perquimans","North Carolina","5,580","68.38%","97.8%"
"Clay","South Dakota","5,561","68.41%","97.81%"
"Hale","Alabama","5,541","68.44%","97.81%"
"Roane","West Virginia","5,533","68.47%","97.81%"
"Breathitt","Kentucky","5,532","68.5%","97.82%"
"Livingston","Missouri","5,523","68.53%","97.82%"
"Mono","California","5,521","68.56%","97.83%"
"Gooding","Idaho","5,512","68.59%","97.83%"
"Monroe","Ohio","5,510","68.62%","97.84%"
"Radford city","Virginia","5,500","68.66%","97.84%"
"Crockett","Tennessee","5,494","68.69%","97.84%"
"Nottoway","Virginia","5,492","68.72%","97.85%"
"Massac","Illinois","5,482","68.75%","97.85%"
"Lancaster","Virginia","5,468","68.78%","97.86%"
"Sanders","Montana","5,453","68.81%","97.86%"
"Knott","Kentucky","5,448","68.84%","97.86%"
"Northumberland","Virginia","5,436","68.87%","97.87%"
"Clay","Illinois","5,431","68.9%","97.87%"
"Bienville Parish","Louisiana","5,425","68.93%","97.88%"
"Jackson","Texas","5,424","68.96%","97.88%"
"Sierra","New Mexico","5,419","69%","97.89%"
"Lawrence","Illinois","5,414","69.03%","97.89%"
"Colfax","New Mexico","5,413","69.06%","97.89%"
"Walthall","Mississippi","5,400","69.09%","97.9%"
"Smith","Mississippi","5,397","69.12%","97.9%"
"Comanche","Texas","5,395","69.15%","97.91%"
"Madison","Virginia","5,392","69.18%","97.91%"
"Trinity","California","5,373","69.21%","97.92%"
"Jeff Davis","Georgia","5,368","69.24%","97.92%"
"Iron","Michigan","5,354","69.27%","97.92%"
"Wright","Iowa","5,352","69.3%","97.93%"
"Mills","Iowa","5,349","69.34%","97.93%"
"Northampton","Virginia","5,338","69.37%","97.94%"
"Pendleton","Kentucky","5,333","69.4%","97.94%"
"Moffat","Colorado","5,303","69.43%","97.94%"
"Amelia","Virginia","5,285","69.46%","97.95%"
"Meigs","Tennessee","5,279","69.49%","97.95%"
"Craig","Oklahoma","5,248","69.52%","97.96%"
"Oglethorpe","Georgia","5,242","69.55%","97.96%"
"Callahan","Texas","5,237","69.58%","97.96%"
"Pamlico","North Carolina","5,228","69.61%","97.97%"
"Socorro","New Mexico","5,222","69.64%","97.97%"
"Vinton","Ohio","5,222","69.68%","97.98%"
"Fergus","Montana","5,200","69.71%","97.98%"
"Chippewa","Minnesota","5,196","69.74%","97.99%"
"Menard","Illinois","5,195","69.77%","97.99%"
"Caldwell","Kentucky","5,187","69.8%","97.99%"
"Ramsey","North Dakota","5,185","69.83%","98%"
"Choctaw","Alabama","5,174","69.86%","98%"
"Osage","Missouri","5,173","69.89%","98.01%"
"Stewart","Tennessee","5,173","69.92%","98.01%"
"Howard","Arkansas","5,169","69.95%","98.01%"
"Saline","Nebraska","5,166","69.98%","98.02%"
"Manassas Park city","Virginia","5,165","70.02%","98.02%"
"Lewis","Tennessee","5,153","70.05%","98.03%"
"Frio","Texas","5,144","70.08%","98.03%"
"Cass","Illinois","5,135","70.11%","98.03%"
"Union","Kentucky","5,128","70.14%","98.04%"
"Mackinac","Michigan","5,128","70.17%","98.04%"
"Alcona","Michigan","5,116","70.2%","98.05%"
"Pecos","Texas","5,108","70.23%","98.05%"
"Grundy","Tennessee","5,106","70.26%","98.05%"
"Jackson","Kansas","5,100","70.29%","98.06%"
"Grundy","Iowa","5,085","70.32%","98.06%"
"Cherokee","Iowa","5,082","70.36%","98.06%"
"Crenshaw","Alabama","5,075","70.39%","98.07%"
"Blackford","Indiana","5,060","70.42%","98.07%"
"Union","Iowa","5,055","70.45%","98.08%"
"Goshen","Wyoming","5,053","70.48%","98.08%"
"Alleghany","North Carolina","5,049","70.51%","98.08%"
"Nantucket","Massachusetts","5,048","70.54%","98.09%"
"Custer","Montana","5,044","70.57%","98.09%"
"Clay","North Carolina","5,041","70.6%","98.1%"
"Morris","Texas","5,038","70.63%","98.1%"
"Yalobusha","Mississippi","5,037","70.66%","98.1%"
"Rio Grande","Colorado","5,032","70.7%","98.11%"
"Lake","Minnesota","5,030","70.73%","98.11%"
"Izard","Arkansas","5,027","70.76%","98.12%"
"Claiborne Parish","Louisiana","5,019","70.79%","98.12%"
"Jackson","Kentucky","5,015","70.82%","98.12%"
"Allen","Kansas","5,014","70.85%","98.13%"
"Appanoose","Iowa","5,006","70.88%","98.13%"
"Blanco","Texas","5,001","70.91%","98.14%"
"Pike","Indiana","4,994","70.94%","98.14%"
"Red River","Texas","4,993","70.97%","98.14%"
"Lamar","Alabama","4,987","71%","98.15%"
"Pope","Minnesota","4,987","71.04%","98.15%"
"Chickasaw","Iowa","4,985","71.07%","98.15%"
"Shelby","Iowa","4,983","71.1%","98.16%"
"Murray","Oklahoma","4,974","71.13%","98.16%"
"Williamsburg city","Virginia","4,973","71.16%","98.17%"
"Skamania","Washington","4,965","71.19%","98.17%"
"Marshall","Illinois","4,964","71.22%","98.17%"
"Stone","Arkansas","4,962","71.25%","98.18%"
"Edmonson","Kentucky","4,955","71.28%","98.18%"
"Lake","Michigan","4,931","71.31%","98.19%"
"Brewster","Texas","4,929","71.34%","98.19%"
"Webster","Kentucky","4,920","71.38%","98.19%"
"Franklin","Florida","4,918","71.41%","98.2%"
"Lewis","Kentucky","4,905","71.44%","98.2%"
"Newton","Texas","4,898","71.47%","98.2%"
"Pulaski","Indiana","4,894","71.5%","98.21%"
"Jefferson","Montana","4,890","71.53%","98.21%"
"LaSalle Parish","Louisiana","4,883","71.56%","98.22%"
"Winn Parish","Louisiana","4,883","71.59%","98.22%"
"Jayuya Municipio","Puerto Rico","4,876","71.62%","98.22%"
"Franklin","Idaho","4,870","71.65%","98.23%"
"Atoka","Oklahoma","4,867","71.68%","98.23%"
"Barnes","North Dakota","4,852","71.72%","98.24%"
"Boundary","Idaho","4,835","71.75%","98.24%"
"Washington","North Carolina","4,832","71.78%","98.24%"
"Summers","West Virginia","4,813","71.81%","98.25%"
"Bledsoe","Tennessee","4,812","71.84%","98.25%"
"Fulton","Arkansas","4,808","71.87%","98.25%"
"Linn","Missouri","4,804","71.9%","98.26%"
"Little River","Arkansas","4,790","71.93%","98.26%"
"McIntosh","Georgia","4,784","71.96%","98.26%"
"Wabash","Illinois","4,784","71.99%","98.27%"
"Montmorency","Michigan","4,769","72.02%","98.27%"
"Sumter","Alabama","4,765","72.06%","98.28%"
"Screven","Georgia","4,763","72.09%","98.28%"
"Desha","Arkansas","4,750","72.12%","98.28%"
"Morgan","Kentucky","4,747","72.15%","98.29%"
"Bath","Kentucky","4,743","72.18%","98.29%"
"Wilbarger","Texas","4,737","72.21%","98.29%"
"Monroe","West Virginia","4,736","72.24%","98.3%"
"Middlesex","Virginia","4,733","72.27%","98.3%"
"Braxton","West Virginia","4,733","72.3%","98.31%"
"Rains","Texas","4,723","72.33%","98.31%"
"Carbon","Montana","4,716","72.36%","98.31%"
"Jackson","Tennessee","4,695","72.4%","98.32%"
"Marion","Kansas","4,692","72.43%","98.32%"
"Douglas","Missouri","4,688","72.46%","98.32%"
"Camp","Texas","4,677","72.49%","98.33%"
"Lunenburg","Virginia","4,669","72.52%","98.33%"
"Bethel Census Area","Alaska","4,661","72.55%","98.33%"
"Cottonwood","Minnesota","4,659","72.58%","98.34%"
"Lincoln","Washington","4,659","72.61%","98.34%"
"Poquoson city","Virginia","4,657","72.64%","98.35%"
"Washington","Kentucky","4,650","72.67%","98.35%"
"San Juan","Utah","4,650","72.7%","98.35%"
"Lamb","Texas","4,644","72.74%","98.36%"
"Karnes","Texas","4,643","72.77%","98.36%"
"Lake","South Dakota","4,632","72.8%","98.36%"
"Powell","Kentucky","4,629","72.83%","98.37%"
"Calhoun","Florida","4,625","72.86%","98.37%"
"Charlotte","Virginia","4,621","72.89%","98.37%"
"Hancock","Iowa","4,614","72.92%","98.38%"
"Zapata","Texas","4,612","72.95%","98.38%"
"Montgomery","Iowa","4,609","72.98%","98.39%"
"Kodiak Island Borough","Alaska","4,608","73.01%","98.39%"
"Madison","Missouri","4,604","73.04%","98.39%"
"Bamberg","South Carolina","4,592","73.08%","98.4%"
"Winnebago","Iowa","4,591","73.11%","98.4%"
"Montgomery","Missouri","4,589","73.14%","98.4%"
"Guthrie","Iowa","4,587","73.17%","98.41%"
"Noble","Ohio","4,587","73.2%","98.41%"
"Monroe","Kentucky","4,586","73.23%","98.41%"
"Teton","Idaho","4,573","73.26%","98.42%"
"Crawford","Indiana","4,573","73.29%","98.42%"
"Haskell","Oklahoma","4,568","73.32%","98.42%"
"Prowers","Colorado","4,564","73.35%","98.43%"
"Magoffin","Kentucky","4,564","73.38%","98.43%"
"Butler","Kentucky","4,561","73.42%","98.43%"
"Glades","Florida","4,560","73.45%","98.44%"
"Deer Lodge","Montana","4,560","73.48%","98.44%"
"Mississippi","Missouri","4,559","73.51%","98.45%"
"Perry","Mississippi","4,552","73.54%","98.45%"
"Box Butte","Nebraska","4,537","73.57%","98.45%"
"Conecuh","Alabama","4,528","73.6%","98.46%"
"Florida Municipio","Puerto Rico","4,515","73.63%","98.46%"
"Greene","Illinois","4,514","73.66%","98.46%"
"Clear Creek","Colorado","4,512","73.69%","98.47%"
"Fremont","Idaho","4,506","73.72%","98.47%"
"Wayne","Missouri","4,503","73.76%","98.47%"
"Richland","Montana","4,500","73.79%","98.48%"
"Mitchell","Iowa","4,477","73.82%","98.48%"
"Sabine","Texas","4,469","73.85%","98.48%"
"Grand","Utah","4,466","73.88%","98.49%"
"Custer","Nebraska","4,456","73.91%","98.49%"
"Walsh","North Dakota","4,450","73.94%","98.49%"
"Lyon","Iowa","4,444","73.97%","98.5%"
"Red Willow","Nebraska","4,442","74%","98.5%"
"Decatur","Tennessee","4,439","74.03%","98.5%"
"Todd","Kentucky","4,434","74.06%","98.51%"
"Barton","Missouri","4,425","74.1%","98.51%"
"Jackson","Minnesota","4,421","74.13%","98.52%"
"Essex","Virginia","4,396","74.16%","98.52%"
"Green","Kentucky","4,394","74.19%","98.52%"
"Crawford","Georgia","4,390","74.22%","98.53%"
"Jefferson Davis","Mississippi","4,383","74.25%","98.53%"
"Pushmataha","Oklahoma","4,376","74.28%","98.53%"
"Hamilton","Florida","4,360","74.31%","98.54%"
"Big Horn","Wyoming","4,357","74.34%","98.54%"
"Cheyenne","Nebraska","4,351","74.37%","98.54%"
"Ward","Texas","4,345","74.4%","98.55%"
"Heard","Georgia","4,342","74.44%","98.55%"
"Lawrence","Mississippi","4,323","74.47%","98.55%"
"Tallahatchie","Mississippi","4,322","74.5%","98.56%"
"Morrow","Oregon","4,322","74.53%","98.56%"
"Watonwan","Minnesota","4,314","74.56%","98.56%"
"Linn","Kansas","4,299","74.59%","98.57%"
"Grant","West Virginia","4,284","74.62%","98.57%"
"Bleckley","Georgia","4,283","74.65%","98.57%"
"Terry","Texas","4,271","74.68%","98.58%"
"Millard","Utah","4,267","74.71%","98.58%"
"Owen","Kentucky","4,261","74.74%","98.58%"
"McLean","North Dakota","4,261","74.78%","98.59%"
"Sac","Iowa","4,251","74.81%","98.59%"
"Owyhee","Idaho","4,248","74.84%","98.59%"
"Metcalfe","Kentucky","4,245","74.87%","98.6%"
"Humboldt","Iowa","4,236","74.9%","98.6%"
"Butte","South Dakota","4,230","74.93%","98.6%"
"Clay","Texas","4,227","74.96%","98.61%"
"Gates","North Carolina","4,219","74.99%","98.61%"
"Live Oak","Texas","4,210","75.02%","98.61%"
"Carroll","Mississippi","4,205","75.05%","98.62%"
"Noble","Oklahoma","4,203","75.09%","98.62%"
"Coosa","Alabama","4,201","75.12%","98.62%"
"Marion","Texas","4,201","75.15%","98.63%"
"Union","Florida","4,192","75.18%","98.63%"
"Candler","Georgia","4,183","75.21%","98.63%"
"Cumberland","Illinois","4,180","75.24%","98.63%"
"Cumberland","Virginia","4,175","75.27%","98.64%"
"Glacier","Montana","4,174","75.3%","98.64%"
"Lowndes","Alabama","4,161","75.33%","98.64%"
"Dawson","Texas","4,154","75.36%","98.65%"
"Reeves","Texas","4,145","75.39%","98.65%"
"Louisa","Iowa","4,143","75.43%","98.65%"
"Madison","Texas","4,140","75.46%","98.66%"
"Swift","Minnesota","4,134","75.49%","98.66%"
"Johnson","Illinois","4,133","75.52%","98.66%"
"Beaverhead","Montana","4,121","75.55%","98.67%"
"Pike","Arkansas","4,120","75.58%","98.67%"
"Wilkes","Georgia","4,108","75.61%","98.67%"
"McCormick","South Carolina","4,107","75.64%","98.68%"
"Quay","New Mexico","4,102","75.67%","98.68%"
"Marshall","Kansas","4,101","75.7%","98.68%"
"St. Helena Parish","Louisiana","4,101","75.73%","98.69%"
"Webster","Mississippi","4,101","75.77%","98.69%"
"Washita","Oklahoma","4,101","75.8%","98.69%"
"Ceiba Municipio","Puerto Rico","4,100","75.83%","98.7%"
"St. Clair","Missouri","4,090","75.86%","98.7%"
"Washington","Idaho","4,089","75.89%","98.7%"
"Carroll","Kentucky","4,087","75.92%","98.71%"
"Charlton","Georgia","4,086","75.95%","98.71%"
"Franklin","Iowa","4,084","75.98%","98.71%"
"Keokuk","Iowa","4,065","76.01%","98.71%"
"Holt","Nebraska","4,064","76.04%","98.72%"
"Nemaha","Kansas","4,047","76.07%","98.72%"
"Early","Georgia","4,043","76.11%","98.72%"
"Custer","South Dakota","4,033","76.14%","98.73%"
"Ripley","Missouri","4,030","76.17%","98.73%"
"Bacon","Georgia","4,013","76.2%","98.73%"
"Hughes","Oklahoma","4,003","76.23%","98.74%"
"Clarke","Iowa","4,001","76.26%","98.74%"
"San Miguel","Colorado","3,998","76.29%","98.74%"
"Yellow Medicine","Minnesota","3,993","76.32%","98.75%"
"Maunabo Municipio","Puerto Rico","3,985","76.35%","98.75%"
"Benewah","Idaho","3,978","76.38%","98.75%"
"Pipestone","Minnesota","3,971","76.41%","98.76%"
"Macon","Georgia","3,970","76.45%","98.76%"
"Ralls","Missouri","3,959","76.48%","98.76%"
"Yuma","Colorado","3,957","76.51%","98.76%"
"Rock","Minnesota","3,956","76.54%","98.77%"
"Forest","Wisconsin","3,952","76.57%","98.77%"
"Camden","North Carolina","3,948","76.6%","98.77%"
"Keith","Nebraska","3,946","76.63%","98.78%"
"Franklin","Texas","3,942","76.66%","98.78%"
"Martin","Kentucky","3,935","76.69%","98.78%"
"Martin","Indiana","3,928","76.72%","98.79%"
"Greene","Iowa","3,928","76.75%","98.79%"
"Scott","Arkansas","3,927","76.79%","98.79%"
"Emmet","Iowa","3,922","76.82%","98.8%"
"Chicot","Arkansas","3,919","76.85%","98.8%"
"Dooly","Georgia","3,919","76.88%","98.8%"
"Johnson","Wyoming","3,919","76.91%","98.8%"
"Jones","North Carolina","3,915","76.94%","98.81%"
"Johnston","Oklahoma","3,915","76.97%","98.81%"
"West Feliciana Parish","Louisiana","3,911","77%","98.81%"
"Leslie","Kentucky","3,909","77.03%","98.82%"
"Okfuskee","Oklahoma","3,908","77.06%","98.82%"
"Switzerland","Indiana","3,897","77.09%","98.82%"
"Monona","Iowa","3,891","77.13%","98.83%"
"Bollinger","Missouri","3,887","77.16%","98.83%"
"Calhoun","Iowa","3,886","77.19%","98.83%"
"Platte","Wyoming","3,877","77.22%","98.83%"
"Evans","Georgia","3,876","77.25%","98.84%"
"West Carroll Parish","Louisiana","3,875","77.28%","98.84%"
"Stillwater","Montana","3,869","77.31%","98.84%"
"Latimer","Oklahoma","3,852","77.34%","98.85%"
"Perry","Arkansas","3,840","77.37%","98.85%"
"Mountrail","North Dakota","3,839","77.4%","98.85%"
"Stevens","Minnesota","3,835","77.43%","98.86%"
"Grundy","Missouri","3,828","77.47%","98.86%"
"Schoolcraft","Michigan","3,821","77.5%","98.86%"
"Phelps","Nebraska","3,819","77.53%","98.86%"
"Greene","Mississippi","3,818","77.56%","98.87%"
"Iron","Missouri","3,803","77.59%","98.87%"
"Runnels","Texas","3,800","77.62%","98.87%"
"Montgomery","Mississippi","3,787","77.65%","98.88%"
"Noxubee","Mississippi","3,786","77.68%","98.88%"
"Cuming","Nebraska","3,782","77.71%","98.88%"
"Valley","Idaho","3,778","77.74%","98.89%"
"DeKalb","Missouri","3,775","77.77%","98.89%"
"Love","Oklahoma","3,767","77.81%","98.89%"
"Mathews","Virginia","3,767","77.84%","98.89%"
"Jasper","Illinois","3,766","77.87%","98.9%"
"Clinton","Kentucky","3,762","77.9%","98.9%"
"Wayne","Nebraska","3,762","77.93%","98.9%"
"Ochiltree","Texas","3,758","77.96%","98.91%"
"Juab","Utah","3,756","77.99%","98.91%"
"Montgomery","Arkansas","3,752","78.02%","98.91%"
"Marshall","Minnesota","3,740","78.05%","98.91%"
"Palo Alto","Iowa","3,739","78.08%","98.92%"
"Irwin","Georgia","3,725","78.11%","98.92%"
"Brown","Kansas","3,719","78.15%","98.92%"
"Sublette","Wyoming","3,719","78.18%","98.93%"
"Nowata","Oklahoma","3,715","78.21%","98.93%"
"Dawson","Montana","3,710","78.24%","98.93%"
"Sussex","Virginia","3,705","78.27%","98.93%"
"Madison","Montana","3,703","78.3%","98.94%"
"Rice","Kansas","3,694","78.33%","98.94%"
"Wilcox","Alabama","3,693","78.36%","98.94%"
"Big Horn","Montana","3,691","78.39%","98.95%"
"Caldwell Parish","Louisiana","3,686","78.42%","98.95%"
"Rolette","North Dakota","3,686","78.45%","98.95%"
"Seminole","Georgia","3,672","78.49%","98.95%"
"Howard","Iowa","3,672","78.52%","98.96%"
"Lucas","Iowa","3,672","78.55%","98.96%"
"Cloud","Kansas","3,670","78.58%","98.96%"
"Trousdale","Tennessee","3,658","78.61%","98.97%"
"Roberts","South Dakota","3,657","78.64%","98.97%"
"Oscoda","Michigan","3,648","78.67%","98.97%"
"Colfax","Nebraska","3,639","78.7%","98.97%"
"Clay","Kansas","3,629","78.73%","98.98%"
"McLean","Kentucky","3,608","78.76%","98.98%"
"Morgan","Utah","3,605","78.79%","98.98%"
"Murray","Minnesota","3,601","78.83%","98.99%"
"Bradley","Arkansas","3,600","78.86%","98.99%"
"Tunica","Mississippi","3,600","78.89%","98.99%"
"Mercer","North Dakota","3,594","78.92%","98.99%"
"Caldwell","Missouri","3,591","78.95%","99%"
"Ozark","Missouri","3,583","78.98%","99%"
"Richardson","Nebraska","3,563","79.01%","99%"
"Somervell","Texas","3,562","79.04%","99.01%"
"Clearwater","Idaho","3,561","79.07%","99.01%"
"Stephens","Texas","3,560","79.1%","99.01%"
"Crittenden","Kentucky","3,553","79.13%","99.01%"
"Coffey","Kansas","3,547","79.17%","99.02%"
"Butler","Nebraska","3,538","79.2%","99.02%"
"Hancock","Kentucky","3,537","79.23%","99.02%"
"Maries","Missouri","3,536","79.26%","99.02%"
"Turner","South Dakota","3,535","79.29%","99.03%"
"Boise","Idaho","3,524","79.32%","99.03%"
"Pratt","Kansas","3,521","79.35%","99.03%"
"Lincoln","Arkansas","3,518","79.38%","99.04%"
"Wilson","Kansas","3,515","79.41%","99.04%"
"Sitka City and Borough","Alaska","3,503","79.44%","99.04%"
"Livingston","Kentucky","3,502","79.47%","99.04%"
"Hamilton","Nebraska","3,499","79.51%","99.05%"
"Alger","Michigan","3,490","79.54%","99.05%"
"Woods","Oklahoma","3,488","79.57%","99.05%"
"Benton","Indiana","3,469","79.6%","99.05%"
"Howard","Missouri","3,469","79.63%","99.06%"
"Monroe","Missouri","3,461","79.66%","99.06%"
"Hickory","Missouri","3,457","79.69%","99.06%"
"Bullock","Alabama","3,453","79.72%","99.07%"
"Choctaw","Mississippi","3,450","79.75%","99.07%"
"Greenlee","Arizona","3,444","79.78%","99.07%"
"Carroll","Missouri","3,443","79.81%","99.07%"
"Fall River","South Dakota","3,443","79.85%","99.08%"
"Lanier","Georgia","3,442","79.88%","99.08%"
"Archer","Texas","3,439","79.91%","99.08%"
"Wilkinson","Mississippi","3,436","79.94%","99.08%"
"Emery","Utah","3,428","79.97%","99.09%"
"Lake","Oregon","3,422","80%","99.09%"
"Cedar","Nebraska","3,419","80.03%","99.09%"
"Washakie","Wyoming","3,417","80.06%","99.09%"
"Zavala","Texas","3,411","80.09%","99.1%"
"White Pine","Nevada","3,407","80.12%","99.1%"
"Nevada","Arkansas","3,402","80.15%","99.1%"
"Blaine","Oklahoma","3,393","80.19%","99.11%"
"Franklin city","Virginia","3,388","80.22%","99.11%"
"Dawes","Nebraska","3,381","80.25%","99.11%"
"Oregon","Missouri","3,360","80.28%","99.11%"
"Warren","Indiana","3,359","80.31%","99.12%"
"Wallowa","Oregon","3,356","80.34%","99.12%"
"Terrell","Georgia","3,355","80.37%","99.12%"
"Grant","Oregon","3,352","80.4%","99.12%"
"Lemhi","Idaho","3,350","80.43%","99.13%"
"Hamilton","Illinois","3,350","80.46%","99.13%"
"Wilkinson","Georgia","3,347","80.49%","99.13%"
"Kiowa","Oklahoma","3,345","80.53%","99.13%"
"Baraga","Michigan","3,337","80.56%","99.14%"
"Ritchie","West Virginia","3,327","80.59%","99.14%"
"Traill","North Dakota","3,316","80.62%","99.14%"
"Lyon","Kentucky","3,315","80.65%","99.14%"
"Graham","North Carolina","3,312","80.68%","99.15%"
"Turner","Georgia","3,298","80.71%","99.15%"
"Anderson","Kansas","3,287","80.74%","99.15%"
"Pulaski","Georgia","3,284","80.77%","99.15%"
"Trimble","Kentucky","3,277","80.8%","99.16%"
"Modoc","California","3,264","80.83%","99.16%"
"Bracken","Kentucky","3,263","80.87%","99.16%"
"Prairie","Arkansas","3,261","80.9%","99.16%"
"Saguache","Colorado","3,261","80.93%","99.17%"
